title,number,likes,retweets,time
ETA: Less than the amount of time it took you to need a vacation.,0,29,4,"2h
2 hours ago"
"This summer, POOL to the pool — you never know who you'll meet along the way. http://ubr.to/poolstories ",1,86,16,Jun 30
Lunch break c/o @UberEATS.,2,100,25,Jun 29
Pay with @CapitalOne Quicksilver and get every 10th ride free up to $15 through March 2017. http://ubr.to/quicksilver ,3,78,34,Jun 28
"This month we're celebrating the many immigrants who make magic at Uber, like CTO Thuan Pham. #IAmAnImmigrant",4,398,147,Jun 28
"Check out pride celebrations across the US on our Snapchat story and see how #LoveMovesUs. 

Username: uber",5,191,57,Jun 26
Cannes you believe this #UberCOPTER view?!,6,206,80,Jun 23
 #FirstDayOfSummer,7,437,157,Jun 20
We've got rides in Atlanta. ,8,1.3K,925,Jun 17
"Late night done right with free delivery from @UberEATS—this one's for you, night owls. http://ubr.to/eats ",9,119,54,Jun 16
Get every 10th ride free up to $15 when you pay with @CapitalOne Quicksilver through March. http://ubr.to/quicksilver ,10,134,84,Jun 15
When your ETA is ,11,108,64,Jun 14
"iPhone users, ordering a ride has never been easier. Soon you'll be able to use Siri to do that, and more: http://ubr.to/siri  #WWDC2016",12,281,175,Jun 13
With Scheduled Rides you can rest assured your Uber will be there when you need it. Details: http://ubr.to/scheduledrides ,13,236,143,Jun 9
The UberRUSH API is helping businesses put their ideas and products in motion. Learn more: http://ubr.to/rushdev ,14,265,164,Jun 9
"That moment when you say ""you too,"" to your driver who just told you to have a safe flight...",15,497,149,Jun 7
"We're going to optimistically say that was the exact behavior he was hoping to elicit, Alx. ",16,209,34,Jun 6
"Waving hello to the weekend.

 Miami",17,273,57,Jun 3
#TakeMeThere: Amsterdam,18,177,66,Jun 1
The one thing that should be holding you back this #MemorialDayWeekend:,19,136,59,May 27
"Rosé all day? Request a ride tonight.

Happy #NationalWineDay ",20,186,55,May 25
Have Europe's next big idea? Request #UberPITCH and pitch an investor while you ride: http://ubr.to/pitcheurope ,21,273,162,May 24
Open the @UberEATS app & share your code—when friends place their first order you’ll both score. Sharing is caring.,22,251,78,May 19
Stay in the know when your loved ones are on the go—introducing Trip Tracker: http://ubr.to/triptracker ,23,323,164,May 18
Picking up where public transit drops off: http://ubr.to/1TZ54xe ,24,84,49,May 18
"Even though you're not an Uber driver, @_MKing84, your moves are still .",25,3K,1.9K,May 17
"Going up. 

#TakeMeThere: Singapore",26,181,67,May 17
"Tap. Pay. .
1. Pay in seconds with #AndroidPay
2.Save $10 on your next @Uber
3. Celebrate!
http://goo.gl/5mBwuC ",27,423,183,May 13
#TakeMeThere: London,28,240,73,May 11
Happy #MothersDay! We're delivering sweetness all day. #UberEATS,29,146,41,May 8
ETA: Less than the time it took you to enjoy your Mint Julep.,30,183,38,May 7
Weekend ,31,224,85,May 6
End your #CincoDeMayo on a marg-nificent note—ditch your keys and request a ride instead.,32,264,74,May 5
Who says guac has to be extra? Treat yourself this #CincoDeMayo with @UberEATS. Dig in: http://ubr.to/geteats ,33,98,25,May 5
"With @Alipay, we're excited to make paying, requesting, and traveling even easier for users globally. Learn more:",34,134,60,May 2
#TakeMeThere: May flowers,35,310,91,May 1
ETA: Less than the amount of time it took you to be over April showers.,36,143,34,Apr 28
"So excited to have an inspiring entrepreneur like you on board, @ariannahuff. http://ubr.to/ariannahuffington …",37,127,61,Apr 27
"Riders, get in formation. With @AmericanExpress we're taking you to the #FormationWorldTour: http://ubr.to/formation ",38,111,54,Apr 27
"#EarthDay fact: In 2016, #uberPOOL has reduced gas consumption by 1.8 million gallons & cut carbon dioxide emissions by 16,000 metric tons.",39,250,144,Apr 22
#EarthDay fact: In 2016 people who opted to use #uberPOOL helped eliminate over 90 million extra miles—the distance from Earth to the Sun.,40,166,104,Apr 22
One #uberPOOL ride = one new tree. Ride and breathe easy on #EarthDay: http://ubr.to/earthday16 ,41,91,43,Apr 22
"#EarthDay fact: In China, the number of #uberPOOL trips has grown to over 20 million a month.",42,76,52,Apr 22
"#EarthDay fact: Since launching #uberPOOL in 2014, over 100 million rides have been taken.",43,127,52,Apr 22
Ride #uberPOOL on #EarthDay w/code EARTHDAY16 & we'll donate $1 for @ArborDay to plant a tree in your honor. Info:,44,54,36,Apr 22
